Predicted_Video_ID,BestAnswer_start,BestAnswer_end,Related_Video_IDs
101,0,75,
101,0,75,
101,0,75,
101,0,75,
101,301,362,406
101,0,75,
101,75,136,103
101,75,136,103
101,136,195,103
101,75,136,103
101,75,136,103
101,136,195,103
101,0,75,
101,0,75,
101,0,75,
101,0,75,
103,420,481,401 402
101,362,420,206 103 207
101,195,239,
101,0,75,
101,476,541,
101,541,600,
101,541,600,
101,541,600,207
101,662,720,
102,0,75,202
102,75,135,
102,135,196,
102,75,135,
102,75,135,
102,75,135,
102,196,256,
102,196,256,
102,75,135,
102,135,196,
102,75,135,
102,75,135,
102,75,135,
102,480,541,
102,480,541,
102,600,660,103
102,600,660,405
102,1022,1080,204
102,1080,1140,
103,75,136,
103,75,136,
103,75,136,
103,75,136,
103,75,136,
103,136,197,102
103,197,257,107 102
103,197,257,102
102,316,359,103 202
103,197,257,107
103,361,420,
103,361,420,
103,540,598,
103,540,598,
103,361,420,
103,540,598,
103,540,598,
103,540,598,
103,481,540,
103,481,540,
104,302,362,
104,302,362,
104,302,362,
104,302,362,
104,302,362,
104,486,546,
104,181,244,
104,486,546,
104,245,300,405
104,302,362,
104,486,546,
104,302,362,
406,421,483,105 206
105,76,136,
105,195,255,
105,377,436,
105,677,720,206
105,677,720,206
105,677,720,206
105,677,720,206
105,677,720,206
105,900,960,
105,900,960,
105,900,960,
105,900,960,
105,960,1020,
105,1081,1140,
105,1081,1140,204
105,1140,1200,202
105,1200,1261,103
105,1200,1261,
401,301,361,105
105,1380,1436,106
105,76,136,
105,76,136,
106,76,135,204
106,76,135,204
106,76,135,204 102
106,255,317,
106,195,255,
106,317,376,202 406
106,1081,1141,
106,0,76,
106,0,76,
106,436,496,105
106,436,496,405 401
106,720,780,101
106,1021,1081,202
106,1262,1321,406
106,1262,1321,105
106,1262,1321,104
107,136,196,
107,77,136,
107,479,541,105
107,136,196,404
107,136,196,105
107,136,196,404 105
107,2,77,204
107,479,541,
107,376,435,
107,376,435,
107,376,435,
107,376,435,102
107,376,435,102
107,376,435,
107,479,541,
107,479,541,204
107,901,957,
107,479,541,
107,1202,1261,204
107,901,957,204
107,1202,1261,204
107,1202,1261,204
107,1202,1261,
107,842,901,
201,136,196,
201,76,136,107 103
201,421,477,
201,136,196,405
201,136,196,
201,239,300,
201,239,300,
201,239,300,
201,239,300,
105,495,556,406 202
201,136,196,
201,361,421,
201,661,722,
201,722,804,
201,421,477,
201,477,541,
201,196,239,207 102
201,136,196,
201,541,600,
201,600,661,
201,421,477,204
202,195,239,
202,4,75,
202,195,239,101
202,75,136,206
202,75,136,
202,136,195,105
202,195,239,
202,4,75,
202,195,239,
102,660,717,
202,300,362,203 106 102
202,478,542,
202,843,888,
202,843,888,
202,362,421,401 207 405
202,478,542,
202,542,601,
202,421,478,102 201
202,195,239,
202,478,542,
202,720,780,
203,10,76,202 406
203,237,301,
203,181,237,202
203,76,120,
203,237,301,406 407
203,120,181,107
203,120,181,
204,356,422,203
203,120,181,
203,120,181,
203,181,237,102
203,181,237,
203,181,237,102
203,237,301,
203,237,301,
203,237,301,
203,361,421,206
203,361,421,407 204
203,361,421,204
203,361,421,206
203,301,361,204 107
204,10,77,203
106,76,135,204
204,356,422,105 203
204,136,180,401 203
107,1202,1261,204 405
107,901,957,204
107,479,541,204
107,842,901,204
107,842,901,204
107,781,842,204
107,842,901,204
204,356,422,107
204,356,422,
204,356,422,107
406,244,301,107 407
107,1021,1081,204
204,356,422,107
205,10,77,
402,0,76,205
205,10,77,
205,540,602,
205,10,77,
205,77,136,
205,136,195,
205,195,240,
205,195,240,106 405
205,302,360,
205,10,77,
205,360,421,
205,421,478,
103,300,361,205 204
205,540,602,
205,421,478,
205,10,77,
205,10,77,
205,10,77,
206,540,597,
206,540,597,
206,540,597,
206,135,196,
206,76,135,
206,660,721,105 201
206,540,597,
206,721,781,
206,300,361,
206,300,361,405 105
206,361,420,
206,361,420,202
206,481,540,203 201
206,540,597,
206,660,721,
207,196,240,101
207,196,240,106
207,196,240,405
207,240,301,406
405,660,716,207 401
207,301,361,405
207,301,361,401
405,660,716,207
207,421,476,
207,476,542,405
207,476,542,401 405
207,476,542,405
105,1436,1500,207
207,600,661,405 406
104,0,75,
401,960,1003,405
401,76,136,402 405
405,1142,1181,402
401,195,256,204
405,961,1020,401
405,716,781,401 203 202
402,121,181,
401,76,136,405
402,121,181,405 401
405,196,255,401
402,121,181,405
402,181,237,
104,245,300,405
402,181,237,
402,121,181,
402,181,237,
402,0,76,405
402,121,181,405
402,181,237,401
402,0,76,
402,0,76,401 405
402,121,181,
404,135,182,
404,135,182,
404,135,182,
404,182,240,
404,182,240,
404,357,422,
404,422,480,
404,135,182,
404,182,240,105
404,182,240,405 207
401,782,840,405
405,75,137,
405,781,840,401
405,1020,1081,
405,781,840,401
401,900,960,405
405,255,315,401
405,315,360,401
405,315,360,103 101
405,315,360,103 404 101
405,660,716,401
405,481,540,107 207
401,481,540,405
405,421,481,401 105
406,180,244,202
406,76,138,202 401
406,301,357,
406,244,301,407
406,301,357,
406,357,421,
406,357,421,
406,357,421,
406,542,601,407
406,483,542,
401,195,256,104 405 105
407,77,121,105 401
407,77,121,105 202
407,121,183,106 201
407,360,441,406
407,183,237,
407,183,237,
407,302,360,406
407,77,121,102 106
407,77,121,202 406
407,77,121,202 406
407,77,121,402 202 406
401,195,256,201
407,0,77,202 106
