Predicted_Video_ID,BestAnswer_start,BestAnswer_end,Related_Video_IDs
101,2,77,
101,420,476,
101,77,138,
101,77,138,
101,77,138,
101,138,195,204
101,138,195,204
101,196,239,
101,196,239,504 105
101,196,239,
101,420,476,
101,196,239,105 504
101,240,301,
101,240,301,
101,240,301,304
101,240,301,
101,196,239,
101,77,138,
101,301,362,501
101,301,362,501
101,301,362,
101,301,362,501
105,482,542,101 403 204
101,362,420,403 103
202,541,601,101
101,420,476,202 105 205
101,479,542,202
101,479,542,202
101,542,602,
101,542,602,
101,542,602,
101,602,664,405
101,420,476,202
101,542,602,
101,542,602,
101,782,841,
101,841,900,
101,841,900,105 305
101,961,1021,305 105 404
101,479,542,
202,664,718,101 405
101,961,1021,
101,961,1021,504 105
101,1024,1077,405 304
305,75,135,105 301 504
102,0,75,403
102,0,75,403
102,0,75,403
102,0,75,403
102,0,75,403
102,0,75,403
102,0,75,403
103,196,240,102 403
102,180,238,
102,180,238,403
102,300,356,
501,300,356,402 102
102,300,356,504
102,300,356,204 503
102,300,356,104 204 504
102,300,356,103
102,300,356,103
102,300,356,301
102,300,356,305 404 402
102,300,356,303
205,420,477,301 103
102,0,75,403
102,300,356,504 103
102,421,480,502
102,421,480,403
102,480,542,403
102,480,542,403
102,421,480,403
102,480,542,403
102,480,542,403
102,480,542,403
103,77,137,204
103,77,137,404
205,542,600,401
103,77,137,504
103,77,137,504
103,77,137,
103,77,137,504
103,77,137,101 404 202
103,420,477,
103,478,541,
103,601,662,203 303
103,541,601,501
103,541,601,
103,541,601,
103,478,541,
103,601,662,
103,662,717,
203,481,540,504 403
103,601,662,402
103,717,783,203 303
103,901,960,
103,961,998,204
201,137,181,104
201,137,181,104
104,136,196,201 303
104,196,255,
401,543,600,205 104 502
104,196,255,201
104,196,255,201
104,256,302,
104,256,302,
104,256,302,402
104,302,361,201
104,361,422,
104,361,422,
104,422,481,201
104,961,1020,
104,1141,1201,201
201,137,181,104
104,961,1020,
201,137,181,104
104,1141,1201,
104,361,422,
104,961,1020,
105,600,643,205
105,600,643,
105,301,356,504 405
105,301,356,504 405
105,301,356,503 304
105,600,643,204
105,356,420,504
105,600,643,205
105,420,482,403 102
105,600,643,
105,482,542,205 504
105,482,542,404 102
105,482,542,404
105,356,420,502
105,356,420,401
105,0,75,504
105,356,420,102
105,600,643,205
205,719,780,403 105 503
105,600,643,205
105,600,643,305 405
105,600,643,205 401
105,600,643,205
502,196,255,
205,197,241,105 405
105,600,643,
105,600,643,205 204
